,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
292,130,3500,0.17142857142857143,0.192,0.22628571428571428,0.18171428571428572,0.19542857142857142,0.15885714285714286,0.09828571428571428,0.1462857142857143,0.22285714285714286,0.16228571428571428
293,140,3500,0.14971428571428572,0.18285714285714286,0.16228571428571428,0.10971428571428571,0.2102857142857143,0.14857142857142858,0.13714285714285715,0.192,0.1337142857142857,0.11085714285714286
294,150,3500,0.10628571428571429,0.128,0.1417142857142857,0.09371428571428571,0.16114285714285714,0.1337142857142857,0.1417142857142857,0.128,0.152,0.11657142857142858
295,160,3500,0.1782857142857143,0.11885714285714286,0.11314285714285714,0.15085714285714286,0.15885714285714286,0.10285714285714286,0.1382857142857143,0.1417142857142857,0.096,0.16685714285714287
296,170,3500,0.18742857142857142,0.10742857142857143,0.08914285714285715,0.184,0.12914285714285714,0.104,0.152,0.13257142857142856,0.1462857142857143,0.13485714285714287
297,180,3500,0.12342857142857143,0.16,0.10971428571428571,0.088,0.096,0.12685714285714286,0.08457142857142858,0.09371428571428571,0.112,0.10171428571428572
298,190,3500,0.14742857142857144,0.09028571428571429,0.128,0.144,0.12571428571428572,0.12571428571428572,0.16342857142857142,0.088,0.2102857142857143,0.1977142857142857
299,200,3500,0.1417142857142857,0.11428571428571428,0.12342857142857143,0.11314285714285714,0.09371428571428571,0.17485714285714285,0.1782857142857143,0.09371428571428571,0.10285714285714286,0.10171428571428572
300,10,4000,0.388,0.226,0.181,0.416,0.341,0.321,0.364,0.433,0.399,0.426
301,20,4000,0.364,0.303,0.408,0.353,0.438,0.412,0.404,0.437,0.367,0.296
302,30,4000,0.323,0.263,0.223,0.328,0.276,0.274,0.299,0.36,0.346,0.257
303,40,4000,0.262,0.179,0.202,0.296,0.308,0.262,0.234,0.22,0.296,0.25
304,50,4000,0.236,0.233,0.182,0.236,0.241,0.29,0.199,0.239,0.223,0.153
305,60,4000,0.224,0.121,0.149,0.211,0.206,0.197,0.195,0.186,0.206,0.278
306,70,4000,0.252,0.198,0.198,0.21,0.162,0.206,0.298,0.212,0.2,0.194
