,nof_selected_features,nof_samples,min_test_error_0,min_test_error_1,min_test_error_2,min_test_error_3,min_test_error_4,min_test_error_5,min_test_error_6,min_test_error_7,min_test_error_8,min_test_error_9
263,40,280,0.3142857142857143,0.34285714285714286,0.2571428571428571,0.24285714285714285,0.2857142857142857,0.22857142857142856,0.17142857142857143,0.2571428571428571,0.3,0.2857142857142857
264,50,280,0.2714285714285714,0.3,0.14285714285714285,0.21428571428571427,0.24285714285714285,0.24285714285714285,0.24285714285714285,0.21428571428571427,0.3142857142857143,0.21428571428571427
265,60,280,0.2,0.3,0.18571428571428572,0.21428571428571427,0.24285714285714285,0.2,0.2857142857142857,0.15714285714285714,0.14285714285714285,0.17142857142857143
266,70,280,0.21428571428571427,0.07142857142857142,0.18571428571428572,0.22857142857142856,0.3142857142857143,0.14285714285714285,0.15714285714285714,0.24285714285714285,0.2714285714285714,0.22857142857142856
267,80,280,0.15714285714285714,0.2,0.12857142857142856,0.17142857142857143,0.2714285714285714,0.1,0.22857142857142856,0.22857142857142856,0.11428571428571428,0.2714285714285714
268,90,280,0.21428571428571427,0.05714285714285714,0.2571428571428571,0.1,0.18571428571428572,0.2,0.05714285714285714,0.11428571428571428,0.17142857142857143,0.22857142857142856
269,100,280,0.15714285714285714,0.15714285714285714,0.32857142857142857,0.17142857142857143,0.21428571428571427,0.24285714285714285,0.11428571428571428,0.2,0.11428571428571428,0.15714285714285714
270,110,280,0.17142857142857143,0.15714285714285714,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.11428571428571428,0.1,0.2714285714285714,0.1,0.12857142857142856
271,120,280,0.2,0.17142857142857143,0.22857142857142856,0.14285714285714285,0.17142857142857143,0.14285714285714285,0.2714285714285714,0.12857142857142856,0.17142857142857143,0.12857142857142856
272,130,280,0.2,0.24285714285714285,0.1,0.1,0.08571428571428572,0.1,0.15714285714285714,0.14285714285714285,0.21428571428571427,0.07142857142857142
273,140,280,0.15714285714285714,0.17142857142857143,0.11428571428571428,0.15714285714285714,0.18571428571428572,0.2,0.12857142857142856,0.22857142857142856,0.14285714285714285,0.08571428571428572
274,150,280,0.02857142857142857,0.15714285714285714,0.05714285714285714,0.1,0.18571428571428572,0.18571428571428572,0.18571428571428572,0.14285714285714285,0.15714285714285714,0.22857142857142856
275,160,280,0.11428571428571428,0.17142857142857143,0.12857142857142856,0.2,0.07142857142857142,0.08571428571428572,0.11428571428571428,0.08571428571428572,0.21428571428571427,0.08571428571428572
276,170,280,0.15714285714285714,0.12857142857142856,0.21428571428571427,0.12857142857142856,0.15714285714285714,0.1,0.08571428571428572,0.14285714285714285,0.11428571428571428,0.11428571428571428
277,180,280,0.05714285714285714,0.17142857142857143,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.15714285714285714,0.15714285714285714,0.08571428571428572,0.08571428571428572,0.12857142857142856
278,190,280,0.2,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.05714285714285714,0.08571428571428572,0.07142857142857142,0.05714285714285714,0.07142857142857142,0.18571428571428572
279,200,280,0.18571428571428572,0.24285714285714285,0.15714285714285714,0.08571428571428572,0.12857142857142856,0.18571428571428572,0.2,0.12857142857142856,0.18571428571428572,0.11428571428571428
280,10,300,0.30666666666666664,0.13333333333333333,0.26666666666666666,0.28,0.36,0.28,0.49333333333333335,0.5066666666666667,0.37333333333333335,0.36
281,20,300,0.13333333333333333,0.21333333333333335,0.3466666666666667,0.44,0.3466666666666667,0.10666666666666667,0.41333333333333333,0.28,0.29333333333333333,0.4
282,30,300,0.21333333333333335,0.38666666666666666,0.26666666666666666,0.30666666666666664,0.28,0.25333333333333335,0.16,0.26666666666666666,0.16,0.13333333333333333
283,40,300,0.18666666666666668,0.17333333333333334,0.16,0.16,0.28,0.17333333333333334,0.29333333333333333,0.09333333333333334,0.32,0.41333333333333333
284,50,300,0.25333333333333335,0.17333333333333334,0.16,0.3333333333333333,0.36,0.17333333333333334,0.28,0.25333333333333335,0.2,0.2
285,60,300,0.32,0.17333333333333334,0.29333333333333333,0.13333333333333333,0.13333333333333333,0.05333333333333334,0.17333333333333334,0.22666666666666666,0.21333333333333335,0.16
286,70,300,0.24,0.06666666666666667,0.14666666666666667,0.25333333333333335,0.16,0.09333333333333334,0.12,0.17333333333333334,0.2,0.21333333333333335
287,80,300,0.18666666666666668,0.25333333333333335,0.24,0.29333333333333333,0.12,0.10666666666666667,0.14666666666666667,0.18666666666666668,0.22666666666666666,0.28
288,90,300,0.17333333333333334,0.22666666666666666,0.12,0.09333333333333334,0.2,0.22666666666666666,0.30666666666666664,0.16,0.21333333333333335,0.26666666666666666
